source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND000000ACB,IND562132AAA,66,1.852207683965296,2865.5,1548.0,89334.0,66,2065.06305,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka)
IND562132AAA,IND000000ACB,44,1.8193162853251295,2786.0,1530.0,55820.0,44,2089.2167,1.0,1.0,Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana)
IND000000ACB,IND712311AAA,48,2.032003219425158,2063.5,1016.0,55636.0,48,1427.93005,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Kolkata_Dankuni_HB (West Bengal)
IND781018AAB,IND110037AAM,17,2.5298563869992443,3347.0,1323.0,34802.0,17,1807.9374,1.0,1.0,Guwahati_Hub (Assam),Delhi_Airport_H (Delhi)
IND000000ACB,IND501359AAE,29,1.909871244635193,2229.0,1165.0,33048.0,29,1562.7023000000002,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana)
IND000000ACB,IND421302AAG,33,1.9273858921161824,1858.0,963.0,31005.0,33,1322.4025,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra)
IND421302AAG,IND000000ACB,26,1.998452012383901,1935.5,968.0,25710.0,26,1322.6282500000002,1.0,1.0,Bhiwandi_Mankoli_HB (Maharashtra),Gurgaon_Bilaspur_HB (Haryana)
IND000000ACB,IND600056AAB,14,1.8605590062111803,2995.5,1610.0,21102.0,14,2190.2241,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),MAA_Poonamallee_HB (Tamil Nadu)
IND421302AAG,IND110037AAM,19,2.0813492063492065,2098.0,1007.0,21082.0,19,1366.3654,1.0,1.0,Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi)
IND854326AAB,IND000000ACB,18,2.1855343803149268,2032.5,930.0,19929.0,18,1269.7084,1.0,1.0,Purnia_Central_H_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana)
IND421302AAG,IND562132AAA,30,1.857946273144485,1321.0,709.0,19060.0,30,968.8463,1.0,1.0,Bhiwandi_Mankoli_HB (Maharashtra),Bangalore_Nelmngla_H (Karnataka)
IND110037AAM,IND421302AAG,18,1.9914744232698098,1985.5,997.0,18691.0,18,1367.7746,1.0,1.0,Delhi_Airport_H (Delhi),Bhiwandi_Mankoli_HB (Maharashtra)
IND000000ACB,IND751002AAB,15,2.0403087478559176,2379.0,1167.0,18644.0,15,1638.6996,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Bhubaneshwar_Hub (Orissa)
IND000000ACB,IND160002AAC,58,2.205188679245283,467.5,211.0,18417.0,58,280.28414999999995,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab)
IND562132AAA,IND302014AAA,14,1.9440377419879615,2656.0,1366.0,18292.0,14,1854.7512499999998,1.0,1.0,Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan)
IND562132AAA,IND751002AAB,15,2.0736137667304013,2169.0,1047.0,17516.0,15,1416.6986000000002,1.0,1.0,Bangalore_Nelmngla_H (Karnataka),Bhubaneshwar_Hub (Orissa)
IND751002AAB,IND562132AAA,13,2.262511803588291,2396.0,1058.0,17275.0,13,1423.1406000000002,1.0,1.0,Bhubaneshwar_Hub (Orissa),Bangalore_Nelmngla_H (Karnataka)
IND000000ACB,IND411033AAA,22,1.7695691890617633,1785.5,1010.0,17087.0,22,1361.7046,1.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Pune_Tathawde_H (Maharashtra)
IND395023AAA,IND562132AAA,20,1.94386499574679,1679.0,863.0,16235.0,20,1193.1114499999999,1.0,1.0,Surat_HUB (Gujarat),Bangalore_Nelmngla_H (Karnataka)
