facility,name,betweenness,pagerank,in_degree,out_degree,degree,clustering,throughput_legs,total_excess_delay,delay_pct,betw_pct,thru_pct,bottleneck_score
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),0.22022768627996903,0.01932579457310873,45,49,94,0.03715846994535519,1991,697189.0,1.0,1.0,1.0,1.0
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),0.1249428383249191,0.013162998261288262,36,35,71,0.05357142857142857,1433,352694.0,0.9993964996982498,0.9993964996982498,0.9993964996982498,0.9993964996982498
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),0.09263166084939613,0.01117516912786798,30,27,57,0.042682926829268296,734,160509.0,0.9975859987929994,0.9987929993964997,0.9969824984912492,0.9978273989136994
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),0.09065944258450837,0.008689578566630921,24,22,46,0.0392156862745098,481,208354.0,0.9981894990947495,0.9981894990947495,0.9927579963789982,0.9971031985515993
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),0.06962523683824724,0.008233253360157448,29,29,58,0.06156156156156156,1404,309708.0,0.9987929993964997,0.9975859987929994,0.9987929993964997,0.9984308992154496
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),0.0550782085482796,0.010080879554942777,32,29,61,0.03433001107419712,801,112443.0,0.995775497887749,0.9969824984912492,0.9975859987929994,0.9964996982498491
IND131028AAB,Sonipat_Kundli_H (Haryana),0.04783690260196255,0.006446229192780851,20,20,40,0.03870967741935484,574,79805.0,0.992154496077248,0.996378998189499,0.9951719975859988,0.9940253470126735
IND781018AAB,Guwahati_Hub (Assam),0.044541680004588025,0.004550090502206191,17,15,32,0.03162055335968379,180,82846.0,0.9939649969824985,0.995775497887749,0.9837054918527459,0.9924562462281231
IND411033AAA,Pune_Tathawde_H (Maharashtra),0.04325401183047964,0.007393558574715217,23,20,43,0.06157635467980296,733,148823.0,0.9969824984912492,0.9951719975859988,0.996378998189499,0.996318648159324
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),0.04214619583060069,0.005333332070786937,18,18,36,0.05928853754940711,541,61682.0,0.9909474954737477,0.9945684972842487,0.9945684972842487,0.9927579963789982
IND110037AAM,Delhi_Airport_H (Delhi),0.04133064983259041,0.005423294046402846,21,24,45,0.07056451612903226,445,135198.0,0.996378998189499,0.9939649969824985,0.992154496077248,0.9948098974049487
IND302014AAA,Jaipur_Hub (Rajasthan),0.04048963994902146,0.002902392722271636,10,8,18,0.06666666666666667,192,47090.0,0.9891369945684972,0.9933614966807484,0.9849124924562462,0.9895594447797224
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),0.04035938944323359,0.006091866363289784,16,13,29,0.03463203463203463,392,82567.0,0.9933614966807484,0.9927579963789982,0.9915509957754979,0.9928183464091732
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),0.0316951913933234,0.003904907403774553,17,13,30,0.03985507246376811,537,66371.0,0.9915509957754979,0.992154496077248,0.9939649969824985,0.992214846107423
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),0.029637711808032402,0.004168364169203124,13,9,22,0.0718954248366013,266,81513.0,0.9927579963789982,0.9915509957754979,0.9891369945684972,0.9916716958358479
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),0.024698797378752718,0.004401651910322946,12,15,27,0.057971014492753624,336,87056.0,0.9945684972842487,0.9909474954737477,0.9909474954737477,0.9927579963789982
IND683511AAA,Aluva_Peedika_H (Kerala),0.022768801903177316,0.0028916655192772964,13,7,20,0.029411764705882353,175,16405.0,0.9782739891369946,0.9903439951719976,0.9828002414001207,0.9828002414001208
IND751002AAB,Bhubaneshwar_Hub (Orissa),0.02158710036050378,0.0030824155260857854,13,6,19,0.10833333333333334,164,89012.0,0.9951719975859988,0.9897404948702474,0.9812914906457453,0.9907664453832227
IND854326AAB,Purnia_Central_H_2 (Bihar),0.01899404527343579,0.0018909895398716743,8,8,16,0.15384615384615385,132,36545.0,0.987929993964997,0.9891369945684972,0.9743512371756186,0.9855763427881714
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),0.017798782297337244,0.0027107319784943195,10,11,21,0.054945054945054944,138,21085.0,0.9837054918527459,0.9885334942667471,0.9776704888352444,0.983946891973446
IND713205AAB,Durgapur_Central_I_1 (West Bengal),0.01442890085672169,0.0022143935754845847,7,11,18,0.054945054945054944,104,16812.0,0.9788774894387448,0.987929993964997,0.9659022329511164,0.9789981894990948
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh),0.01403076365476208,0.003013361733840637,10,7,17,0.08333333333333333,131,6396.0,0.9312009656004828,0.9873264936632469,0.9734459867229933,0.9564876282438141
IND395023AAA,Surat_HUB (Gujarat),0.013666931729258522,0.001723713977721321,8,8,16,0.16363636363636364,174,58096.0,0.9903439951719976,0.9867229933614967,0.9818949909474954,0.9875678937839468
IND580028AAA,Hubli_Adargchi_IP (Karnataka),0.013631987925137758,0.002832176342680432,9,8,17,0.0989010989010989,145,19876.0,0.9812914906457453,0.9861194930597466,0.9788774894387448,0.9822570911285455
IND575004AAB,Mangalore_Kuntikna_H (Karnataka),0.013574030906554378,0.0014178428152160992,6,7,13,0.07692307692307693,57,10089.0,0.9565479782739892,0.9855159927579964,0.9203379601689801,0.9579963789981896
IND573201AAB,Hassan_Pandrnga_I (Karnataka),0.013240244859405132,0.0016315105478209582,4,5,9,0.14285714285714285,94,7558.0,0.9408569704284853,0.9849124924562462,0.9583584791792396,0.9575739287869645
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),0.012882386852897821,0.0020068536472675207,6,6,12,0.08888888888888889,117,11091.0,0.9613759806879904,0.9843089921544961,0.9710319855159928,0.9701870850935425
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh),0.01221073958357229,0.0022445849603383618,8,8,16,0.10256410256410256,132,31399.0,0.9873264936632469,0.9837054918527459,0.9743512371756186,0.9836451418225709
IND842003AAB,Jabalpur_Adhartal_IP (Madhya Pradesh),0.01204773997694003,0.002552645307606569,5,8,13,0.06060606060606061,62,9339.0,0.9529269764634882,0.9831019915509958,0.9299939649969825,0.9573928786964393
IND786001AAB,Dibrugarh_Bokule_H (Assam),0.012028401710524396,0.002100035658855156,6,7,13,0.10606060606060606,80,7313.0,0.9384429692214846,0.9824984912492456,0.9480989740494871,0.9535908267954134
IND306401AAB,Pali_Nayagaon_I (Rajasthan),0.011879989637608182,0.001181059783636556,3,4,7,0.2,94,14638.0,0.975859987929994,0.9818949909474954,0.9583584791792396,0.9741701870850936
IND505001AAB,Karimnagar_KamnHbRD_I (Telangana),0.01163561597851628,0.0030243701267394034,11,8,19,0.15384615384615385,77,5730.0,0.9257694628847315,0.9812914906457453,0.9453832226916113,0.9463488231744116
IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),0.010520147521329709,0.0018355811806254803,5,5,10,0.1111111111111111,92,18877.0,0.9800844900422451,0.9806879903439951,0.9562462281231141,0.975497887748944
IND826004AAA,Dhanbad_Kalynpur_I (Jharkhand),0.010298624185725204,0.002926172938169162,7,9,16,0.07692307692307693,100,14306.0,0.9740494870247435,0.9800844900422451,0.9616777308388654,0.9733856366928184
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),0.01005133762423924,0.0025515396298850515,10,8,18,0.12121212121212122,140,14296.0,0.9734459867229933,0.9794809897404949,0.9782739891369946,0.976222088111044
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan),0.010041303618080186,0.0022226627405318327,5,4,9,0.10714285714285714,112,12816.0,0.9662039831019915,0.9788774894387448,0.9704284852142426,0.9708509354254676
IND332001AAB,Sikar_FatehpRd_I (Rajasthan),0.009670592699621993,0.0010374084860311215,3,6,9,0.08333333333333333,54,3984.0,0.8974049487024743,0.9782739891369946,0.9152082076041038,0.9252263126131564
IND821115AAB,Sasaram_Central_I_2 (Bihar),0.00919587735264868,0.0017294945044553632,6,5,11,0.1388888888888889,80,30059.0,0.9867229933614967,0.9776704888352444,0.9480989740494871,0.9762824381412192
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),0.009158919197668668,0.001165268744045324,6,6,12,0.05454545454545454,60,7779.0,0.9444779722389861,0.9770669885334943,0.9260712130356065,0.9505733252866626
IND125001AAA,Hisar_ModelTwn_P (Haryana),0.008983895887731644,0.0018607584494187233,7,8,15,0.10606060606060606,73,13243.0,0.9674109837054918,0.9764634882317441,0.9408569704284853,0.9648159324079661
IND221313AAA,Varanasi_Central_H_4 (Uttar Pradesh),0.008926251879095699,0.00025688422849451864,1,6,7,0.047619047619047616,21,7771.0,0.943874471937236,0.975859987929994,0.5618587809293905,0.8770669885334943
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),0.00885388541043342,0.0020691650033984963,6,4,10,0.027777777777777776,101,28508.0,0.9855159927579964,0.9752564876282438,0.9628847314423657,0.9779118889559446
IND313001AAB,Udaipur_Mangri_I (Rajasthan),0.008822056326653718,0.0014029781897665027,4,5,9,0.14285714285714285,100,17023.0,0.9794809897404949,0.9746529873264936,0.9616777308388654,0.9744719372359687
IND785001AAA,Jorhat_RicMilRd_D (Assam),0.008821168469139046,0.0009438663635479264,5,3,8,0.13333333333333333,30,5627.0,0.9251659625829813,0.9740494870247435,0.7317441158720579,0.9011466505733253
IND384205AAA,Mehsana_Panchot_IP (Gujarat),0.008450092677729615,0.0017441641228880468,6,6,12,0.1111111111111111,102,5323.0,0.9203379601689801,0.9734459867229933,0.963789981894991,0.9449607724803863
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),0.008060043492855789,0.0038669990282293822,13,9,22,0.11666666666666667,262,20858.0,0.9831019915509958,0.9728424864212432,0.9885334942667471,0.9811104405552203
IND785682AAA,Sivasagar_Babupaty_D (Assam),0.00800567742312127,0.0009127675842432885,2,2,4,0.0,39,3562.0,0.8847314423657212,0.9722389861194931,0.8566686783343391,0.9053711526855763
IND785612AAB,Bokakhat_MlnprDPP_D (Assam),0.007967730636192478,0.00040856957471177905,2,2,4,0.3333333333333333,5,960.0,0.5745322872661436,0.971635485817743,0.16807483403741702,0.6123717561858781
IND834002AAB,Ranchi_Hub (Jharkhand),0.007908742842408938,0.0015419225223103153,5,7,12,0.15555555555555556,146,53035.0,0.9897404948702474,0.9710319855159928,0.9794809897404949,0.9820760410380205
IND403726AAA,Goa_Hub (Goa),0.007798372946255958,0.0015147433726777448,4,6,10,0.1388888888888889,86,20009.0,0.9818949909474954,0.9704284852142426,0.9532287266143633,0.9727217863608932
